@relation books

@attribute name string
@attribute publisher string
@attribute author string
@attribute priceOther numeric
@attribute priceSite numeric
@attribute pageCount numeric
@attribute saleCount numeric
@attribute genre string
@attribute point numeric
@attribute votes numeric

@data
Bir Ömür Nasıl Yaşanır? & Hayatta Doğru Seçimler İçin Öneriler,KRONİK KİTAP,Prof. Dr. İlber Ortaylı,27.5,16.49,288,55084, Kişisel Gelişim,5,2007
Abartma Tozu,TAZE KİTAP,Şermin Yaşar,34.0,23.12,160,5813, Hikaye,5,135
Bir İdam Mahkumunun Son Günü (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Victor Hugo,10.0,6.5,136,40678, Fransızca,5,3079
Fahrenheit 451,İTHAKİ YAYINLARI,Ray Bradbury,24.0,11.5,208,67387, İngilizce,4,5638
Pucca Günlük 7 / Peki Ya Şimdi ?,İNDİGO KİTAP,Pucca,27.0,17.66,216,1913, Anlatı,3,115
Hayvan Çiftliği (Ciltsiz),CAN YAYINLARI,George Orwell,20.0,13.0,152,106040, İngilizce,5,12820
Pia Mater,ELMA YAYINEVİ,Serkan Karaismailoğlu,42.0,27.01,424,4989, Roman (yerli),5,154
Sen Benim Hayatımsın,CAN YAYINLARI KAMPANYA,Ferzan Özpetek,24.5,11.61,240,6369, Roman (yerli),4,340
Şeker Portakalı (Ciltsiz),CAN YAYINLARI,Jose Mauro De Vasconcelos,23.5,15.27,182,132749, Portekizce,5,14914
İnsan Nedir?,DEDALUS KİTAP,Mark Twain,18.0,10.3,136,2365, İngilizce,5,83
Olağanüstü Bir Gece,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,8.0,5.2,80,82738, Almanca,5,7768
Körlük,KIRMIZI KEDİ YAYINEVİ,Jose Saramago,35.0,22.75,336,46182, Roman (çeviri),5,4065
Momo,PEGASUS YAYINLARI,Michael Ende,29.98,20.09,304,651461, 100 Temel Eser,5,4209
Fareler ve İnsanlar,SEL YAYINCILIK,John Steinbeck,16.0,10.87,126,60287, İngilizce,5,6002
Cesur Yeni Dünya,İTHAKİ YAYINLARI,Aldous Huxley,24.0,11.5,272,37627, İngilizce,5,3165
Almanak 2014 / Türkiye'de ve Dünyada Fotoğraflarla Bir Yıl,NTV YAYINLARI,Kollektif,50.42,20.83,246,1392, Yıllık & Antoloji,5,114
1984,CAN YAYINLARI,George Orwell,35.0,22.75,352,104450, İngilizce,5,13052
İçimizdeki Şeytan,YAPI KREDİ YAYINLARI,Sabahattin Ali,9.5,6.29,267,81164, Roman (yerli),5,7913
Bir İdam Mahkumunun Son Günü (Cep Boy),KARBON KİTAPLAR,Victor Hugo,7.0,2.9,101,2203, Roman (çeviri),5,63
Suç ve Ceza (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Fyodor Mihayloviç Dostoyevski,20.0,13.0,704,42432, Rusça,5,4392
Tüfek, Mikrop ve Çelik,PEGASUS YAYINLARI,Jared Diamond,64.81,37.09,609,15811, Popüler Bilim,5,1019
Simyacı (Ciltsiz),CAN YAYINLARI,Paulo Coelho,23.5,15.27,184,93174, Portekizce,5,10840
Sakın Oraya Gitme,CAN YAYINLARI KAMPANYA,Yekta Kopan,16.0,7.2,136,4527, Hikaye (yerli),4,409
Beyaz Zambaklar Ülkesinde (Atatürk'ün askerlere tavsiye ettiği kitap),KARBON KİTAPLAR,Grigory Petrov,7.41,4.59,100,11854, Roman (çeviri),5,551
Dr. Jeykll ve Bay Hyde,NTV YAYINLARI,Robert Louis Stevenson,14.0,5.78,128,1895, Çizgi Roman,5,195
